area,perimetro,excentricidade,solidez,extensao,diam_eq,circularidade,hu1,hu2,hu3,hu4,hu5,hu6,hu7,media_B,std_B,media_G,std_G,media_R,std_R,contraste,homogeneidade,energia,correlacao
22733.0,959.5189027078675,0.43241385261068704,0.9290530875802036,0.7062131096613855,170.1309923866444,0.31028411774013176,0.7928603964976757,3.4655817429525078,4.427045803219087,6.357835578651748,-9.997836426746437,-8.407813314096419,9.992658146948747,65.74570989686198,26.43234551301481,161.05832784726795,34.819113425603575,146.46596445029627,33.11295320199908,53.340173663168414,0.2899741556233134,0.03632588934340908,0.9898953283496275
41362.0,824.8498551495554,0.4462500942100778,0.9764630893080574,0.7701990577807571,229.4858035899733,0.7639441144280665,0.7887721086435449,3.485116535738354,3.70028818123732,5.987740826179923,-9.944207388534359,-7.734127112577773,9.977208771199594,75.29290592146643,33.89664597704841,85.43649474346302,41.49381209791532,171.87566268308024,38.20427875393107,52.722523465838975,0.3061228282093256,0.08713149127160533,0.9924365154605091
50202.0,972.2468247692254,0.3235895085027659,0.9749286310760686,0.757263100733098,252.82241123918314,0.6673871131733123,0.7960181090986439,4.104859009953173,4.452000025172884,7.359543149609923,-9.999887308887034,-9.666875939770913,9.999793895633008,97.91424644436476,42.001215507628125,160.19849806780604,38.20091839554893,146.36978606430023,41.48089512777195,48.75645063597819,0.32005475557974816,0.11420105201461923,0.9915448436531088
78973.0,1172.940258945177,0.31094508681965377,0.9690176446047756,0.7369221581471735,317.09863854386066,0.7213345171152006,0.7937400962990785,4.174911859267493,4.096546721414039,7.141390481727015,9.99949014366006,9.165485836459734,-9.999447144734665,82.40554366682284,32.00851535622706,178.15235586846137,24.535661676638355,157.3683664037076,27.3715636697364,30.153451632225227,0.5055069680856266,0.10704620289777016,0.9950610717532868
90178.0,1339.182899632296,0.4353846281504222,0.9819674630311214,0.7737280137280137,338.8483372618604,0.6318742726589147,0.7940604347651706,3.5344820528914016,5.050673121090447,6.91711581458582,9.999597674601857,8.686321934833554,-9.99963302319841,85.9359710794207,26.28905558636052,172.24310807514027,31.56603792336469,170.959103107188,33.62313942187292,47.84985845444298,0.38633784893957807,0.09470808126029562,0.993892649727976
64118.0,1122.1879502661798,0.4245512698790254,0.9731510009561826,0.7574930592474453,285.722895703738,0.6398212044987376,0.7947495200665303,3.6502149237798074,4.495696401632412,6.844072827934855,-9.998673720892466,-8.655859472729576,9.999975667478676,73.60276144744125,27.854912116907226,169.61611991204057,30.18359179155102,155.63623988391748,34.49738427094806,12.239497392128973,0.4986094282612302,0.12291634168050083,0.997434921573706
24282.0,759.1097397793778,0.3963373415628362,0.9630364083445705,0.7710040007620499,175.83174521473424,0.529523442408538,0.7966055710365181,3.7712492756053537,6.067194182372604,8.86008827626021,-9.99999986923993,-9.947601459814882,-9.999999870420565,84.25529198583313,33.000263596736225,82.48789226587596,33.945613985480584,181.08092414133927,26.171900408203932,46.5711685242551,0.3167481600164561,0.1010756703096605,0.9932912438604317
98233.0,1617.7707781109764,0.3788953036931439,0.9301310457145021,0.7133427251866268,353.65822512415747,0.471664617721333,0.7924628779792902,3.814586689569131,4.732348495315829,6.293659193450066,-9.996382617127816,8.432708715683606,-9.994316933331397,44.15903006118107,25.712309449187103,46.15390958231959,30.914467081749773,155.67459000539534,38.44993078756793,38.78603980722471,0.5105079271716001,0.1392958058324384,0.9966995824618676
83180.0,1335.1656556895932,0.4041348456472514,0.9809540656878354,0.7639322581830205,325.43519374995515,0.5863520866773851,0.7958782867856095,3.6783327016414633,4.964200218992929,7.6215621024044395,9.999981381360145,9.560955118760695,-9.999950857270855,72.09356816542437,25.58644380807993,92.92815580668429,41.606177619421274,178.85566241885067,43.49426052114058,40.869360157703724,0.39925332542157504,0.0905710065680253,0.9948521108029595
125750.0,2145.0155108391486,0.5692498835274393,0.9246391517584688,0.7011586542214491,400.13731736798394,0.34344483051903996,0.7753254709732591,2.9481007613175136,3.4933197941150196,4.758602708815435,8.854727377168798,6.237637472911212,9.625162571025976,57.62435935128607,24.916772518079522,79.09263482427353,42.92151112157355,158.77538160811767,34.808405968132256,40.01780684104628,0.4441620305493009,0.12781620194543863,0.9957014631067077
